iter	Passed	Remaining
0	0	796
1	1	795
2	2	796
3	3	768
4	4	817
5	4	800
6	5	781
7	6	765
8	6	741
9	7	732
10	8	720
11	8	707
12	9	700
13	9	695
14	10	699
15	11	699
16	12	695
17	12	683
18	13	674
19	13	666
20	14	659
21	14	651
22	15	644
23	15	642
24	16	645
25	17	643
26	17	637
27	18	637
28	18	634
29	19	630
30	20	625
31	20	621
32	21	617
33	21	619
34	22	621
35	23	621
36	23	620
37	24	619
38	25	619
39	25	616
40	26	613
41	26	610
42	27	607
43	27	604
44	28	609
45	29	608
46	29	606
47	30	604
48	30	600
49	31	597
50	31	595
51	32	592
52	33	590
53	33	590
54	34	592
55	35	596
56	35	595
57	36	595
58	37	593
59	37	592
60	38	590
61	38	588
62	39	586
63	40	586
64	40	586
65	41	586
66	41	584
67	42	583
68	43	581
69	43	581
70	44	579
71	44	578
72	45	576
73	45	574
74	46	577
75	47	576
76	47	575
77	48	573
78	49	572
79	49	570
80	50	568
81	50	567
82	51	567
83	51	565
84	52	565
85	53	564
86	53	564
87	54	563
88	54	561
89	55	560
90	56	559
91	56	557
92	57	556
93	57	556
94	58	555
95	58	555
96	59	555
97	60	553
98	60	551
99	61	549
100	61	547
101	62	545
102	62	542
103	62	540
104	63	539
105	63	537
106	64	536
107	65	539
108	66	539
109	66	539
110	67	538
111	67	537
112	68	536
113	68	535
114	69	534
115	69	531
116	70	530
117	70	529
118	71	528
119	71	527
120	72	526
121	72	525
122	73	525
123	74	525
124	74	524
125	75	524
126	76	524
127	77	524
128	77	523
129	78	522
130	78	521
131	79	520
132	79	519
133	80	517
134	80	516
135	81	514
136	81	513
137	81	512
138	82	512
139	83	513
140	84	512
141	84	511
142	85	510
143	85	509
144	86	508
145	86	507
146	87	506
147	87	505
148	88	504
149	88	503
150	89	504
151	90	504
152	91	504
153	91	503
154	92	502
155	92	501
156	93	501
157	93	500
158	94	499
159	94	498
160	95	497
161	96	497
162	96	496
163	97	494
164	97	493
165	98	492
166	98	491
167	98	490
168	99	488
169	100	488
170	101	492
171	102	493
172	103	494
173	103	493
174	104	492
175	105	491
176	105	491
177	106	490
178	106	488
179	107	488
180	107	488
181	108	487
182	108	486
183	109	485
184	109	484
185	110	483
186	110	481
187	111	480
188	111	479
189	112	478
190	112	477
191	113	476
192	114	479
193	115	478
194	115	477
195	116	476
196	116	475
197	117	474
198	117	473
199	118	472
200	118	471
201	119	470
202	119	469
203	120	469
204	120	468
205	121	468
206	121	467
207	122	466
208	122	465
209	123	464
210	123	463
211	124	462
212	124	461
213	125	461
214	126	460
215	126	460
216	127	459
217	128	459
218	128	458
219	129	458
220	129	457
221	130	456
222	130	455
223	131	454
224	131	453
225	132	453
226	132	452
227	133	452
228	133	451
229	134	450
230	134	449
231	135	447
232	135	447
233	136	446
234	136	445
235	137	444
236	137	443
237	138	443
238	138	442
239	139	441
240	139	440
241	140	439
242	140	438
243	141	437
244	141	436
245	142	435
246	142	434
247	143	433
248	143	433
249	144	433
250	145	432
251	145	432
252	146	431
253	146	431
254	147	430
255	147	429
256	148	429
257	148	428
258	149	427
259	150	427
260	150	427
261	151	426
262	152	426
263	152	425
264	153	424
265	153	423
266	153	422
267	154	421
268	154	420
269	155	419
270	155	419
271	156	418
272	157	418
273	157	417
274	158	416
275	158	416
276	159	415
277	159	414
278	160	413
279	160	412
280	160	411
281	161	410
282	161	410
283	162	409
284	163	409
285	163	409
286	164	408
287	164	407
288	165	406
289	165	406
290	166	405
291	167	404
292	167	404
293	168	403
294	168	403
295	169	402
296	169	401
297	170	400
298	170	400
299	171	399
300	172	399
301	172	399
302	173	398
303	173	397
304	174	397
305	174	396
306	175	396
307	176	395
308	176	394
309	177	394
310	177	393
311	178	392
312	178	391
313	178	391
314	179	390
315	179	389
316	180	388
317	181	388
318	181	388
319	182	387
320	182	386
321	183	386
322	183	385
323	184	384
324	184	384
325	185	383
326	185	382
327	186	382
328	187	381
329	187	381
330	188	380
331	188	380
332	189	379
333	189	378
334	190	377
335	190	376
336	191	376
337	191	375
338	192	375
339	193	374
340	193	374
341	194	374
342	195	373
343	195	373
344	196	372
345	196	371
346	197	370
347	197	369
348	197	369
349	198	369
350	199	368
351	199	368
352	200	367
353	200	366
354	201	365
